Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1601508866, 0, 4, 100.0, 0.0, 0.0, 100.0, 0.0, 51.4, 949028, 425020, 460868, 142032, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508867, 1, 4, 28.8, 4.0, 6.0, 1.0, 17.8, 51.5, 949028, 425540, 460348, 141512, 13.3, 102396, 13568, 88828, 0, 2, 0, 8, 0, 10
1601508868, 2, 4, 109.2, 3.0, 5.1, 1.0, 100.0, 51.5, 949028, 425540, 460348, 141512, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508869, 3, 4, 108.0, 3.0, 3.1, 1.0, 100.0, 51.5, 949028, 425540, 460348, 141512, 13.3, 102396, 13568, 88828, 0, 3, 0, 68, 0, 19
1601508870, 4, 4, 108.4, 3.0, 4.1, 1.0, 100.0, 51.5, 949028, 425280, 460608, 141764, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508871, 5, 4, 106.4, 1.0, 4.0, 0.0, 100.0, 51.5, 949028, 425264, 460624, 141780, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508872, 6, 4, 107.2, 1.0, 4.1, 1.0, 100.0, 51.5, 949028, 425264, 460624, 141780, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
1601508873, 7, 4, 108.4, 4.0, 4.1, 0.0, 100.0, 51.5, 949028, 425264, 460624, 141780, 13.3, 102396, 13568, 88828, 0, 0, 0, 0, 0, 0
